文章ID,标题,来源,推断相关度,推断标签,需要人工校验
205,出海3.0，拼生态更要拼文化认同,盖世汽车资讯,direct,"G12.L1.01:NEV核心,G4.L1.01:整车出口",否
206,蔚来第三代ES8完成第14万台交付，李斌：大型SUV纯电时代已到来,盖世汽车资讯,direct,"G12.L1.01:NEV核心,G9.L1.02:销量数据",否
207,2026成都车展｜艾尼氪V开启预售，11.99万元起,盖世汽车资讯,direct,G12.L1.01:NEV核心,否
208,2026成都车展｜上汽大众宣言“不做速成车”，ID. ERA 5S 上市8.99万起,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
209,MIT发明新型预训练方法GeoPT 使人工智能模型可以模拟更广泛的现实世界场景,盖世汽车资讯,unrelated,G12.L1.01:NEV核心,是
210,DGIST开发出低复杂度接收器技术 使车辆系统在高速行驶过程中探测物体并交换数据,盖世汽车资讯,industry,G12.L1.01:NEV核心,否
211,受蜜蜂启发 康斯坦茨大学发明新算法帮助机器人集群达成共识,盖世汽车资讯,unrelated,G12.L1.01:NEV核心,是
212,英国拨款2800万英镑！支持长时储能技术发展,北极星储能网-国际栏目,industry,G12.L1.01:NEV核心,否
213,美国南卡1.2GW组件工厂落地！,索比光伏网-国际栏目,industry,G12.L1.01:NEV核心,否
214,CRU预测2026年全球新增光伏装机590GW，需求下滑与产能过剩并存,索比光伏网-国际栏目,industry,G12.L1.01:NEV核心,否
215,13.2GW！土耳其光伏组件产能超越全欧盟,索比光伏网-国际栏目,industry,G12.L1.01:NEV核心,否
216,"德国光伏招标又""超额认购""：2.1吉瓦落地，电价降至4.79欧分",索比光伏网-国际栏目,industry,G12.L1.01:NEV核心,否
217,特朗普越打压越涨：标普预测2026年美国清洁能源新增装机创纪录45吉瓦,索比光伏网-国际栏目,industry,G12.L1.01:NEV核心,否
218,FEP与Aurinkokarhu成立合资企业，拟共建芬兰3GW项目,索比光伏网-国际栏目,industry,G12.L1.01:NEV核心,否
219,1.83GW！德国7月新增光伏装机创年内最高,索比光伏网-国际栏目,industry,G12.L1.01:NEV核心,否
220,最快1天完成阳台光伏项目审批，新西兰拟大幅简化光伏准入流程,索比光伏网-国际栏目,industry,"G11.L1.01:标准法规,G12.L1.01:NEV核心",否
221,27GW！ALMM清单抢装潮下，印度上半年光伏装机创历史新高,索比光伏网-国际栏目,industry,G12.L1.01:NEV核心,否
222,特斯拉“水晶太阳”项目曝光——拟投百亿美金自建电池组件工厂,索比光伏网-国际栏目,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
223,鲁发改价格554号解读｜山东新能源就近消纳价格新政 输配电费容量计费模式全解析,索比光伏网-主列表,industry,G12.L1.01:NEV核心,否
224,从电池全产业链验证优化到固态电池攻关 中俄研,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
225,ABEC 2026丨德耐尔确认出席并赞助支持第13届电池“,电池网,direct,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
226,ABEC 2026丨多氟多新能源确认出席并赞助支持第1,电池网,industry,G12.L1.01:NEV核心,否
227,ABEC 2026丨蜂巢能源确认出席并赞助支持第13届电池,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
228,上半年海外动力电池装车量TOP10：两家新上榜 三,电池网,direct,"G12.L1.01:NEV核心,G4.L1.01:整车出口,G6.L1.01:电池材料",否
229,加快培育新增长点！国家能源局发布《中国绿色,电池网,industry,G12.L1.01:NEV核心,否
230,我国将建成可支撑超1.1亿辆电动汽车出行的充电,电池网,industry,G12.L1.01:NEV核心,否
231,LG新能源上半年储能业务收入大增4.6倍 两家动力,电池网,industry,G12.L1.01:NEV核心,否
232,推动新一代动力电池等创新应用！工业绿色低碳,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
233,100家梯次利用企业移出白名单！工信部发文规范,电池网,industry,"G11.L1.01:标准法规,G12.L1.01:NEV核心",否
234,16亿元！山西忻州一磷酸铁锂储能项目刷新进展,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
235,4GWh！北京国综绿能磷酸铁锂电化学储能系统集采招标,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
236,收购重启！碳酸锂上市公司或易主银锡矿业龙头！,电池网,industry,G12.L1.01:NEV核心,否
237,20分钟即可下单原厂电芯！1800家企业注册宁德时代商,电池网,industry,G12.L1.01:NEV核心,否
238,37.68GWh！河北69个独立储能项目拟延期，16个取消！,电池网,industry,G12.L1.01:NEV核心,否
239,我国现存换电相关企业超62万家 超七成成立未满五年,电池网,industry,G12.L1.01:NEV核心,否
240,逾4亿元！武汉天源拟在山东青岛投建磷酸铁锂储能项,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
241,星源材质干法隔膜连获多家头部储能企业认证 已实现,电池网,industry,"G11.L1.01:标准法规,G12.L1.01:NEV核心",否
242,【隔膜周报】广东一33亿隔膜项目落地！中材科技/璞,电池网,industry,G12.L1.01:NEV核心,否
243,【铜箔周报】亨通股份拟定增募资扩产铜箔！国内铜,电池网,industry,G12.L1.01:NEV核心,否
244,【燃料电池周报】东方氢能拟融资不超11.7亿！内蒙古,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
245,【电解液周报】多氟多年产3.6万吨六氟磷酸锂项目获,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
246,【正极材料周报】钛能化学/天赐材料扩产磷酸铁锂！,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
247,【隔膜周报】锂电隔膜龙头拟切入半导体新材料赛道,电池网,industry,G12.L1.01:NEV核心,否
248,【铜箔周报】华创新材极薄低应力铜箔量产！龙电华,电池网,industry,G12.L1.01:NEV核心,否
249,【燃料电池周报】总投资300亿元氢能项目落户陕西榆,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
250,龙头大增近10倍！天赐材料/新宙邦等电解液领域公司,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
251,从电池全产业链验证优化到固态电池攻关 中俄研究院,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
252,上半年磷酸盐正极材料销量近67万吨！湖南裕能拟24,电池网,industry,"G12.L1.01:NEV核心,G9.L1.02:销量数据",否
253,亿纬锂能国内规划新增约260GWh大铁锂产能 钠电与固态,电池网,industry,G12.L1.01:NEV核心,否
254,两年重整无果！债权超40亿元！又一锂电池公司宣告破,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
255,11.8亿收购海外锂盐湖项目生变！房地产上市公司跨界,电池网,direct,"G12.L1.01:NEV核心,G4.L1.01:整车出口",否
256,年产6666.6吨！永太科技内蒙古VC项目将开启试生产,电池网,industry,G12.L1.01:NEV核心,否
257,收购近60%股权！锂电隔膜龙头拟切入半导体新材料赛,电池网,industry,G12.L1.01:NEV核心,否
258,碳酸锂吨价重返15万元：期货一周涨近万元，部分锂盐,电池网,industry,G12.L1.01:NEV核心,否
259,禁钴禁铜禁黑粉！矿端、再生端双重受限，全球电池,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
260,订单暴涨3000%！全球储能电池年销量有望历史性突破,电池网,direct,"G12.L1.01:NEV核心,G6.L1.01:电池材料,G9.L1.02:销量数据",否
261,上半年全球动力电池装车量TOP10：7家中企强势增长 亿,电池网,industry,"G12.L1.01:NEV核心,G6.L1.01:电池材料",否
262,中亚进出口博览会聚焦多元化经贸往来,商务部走出去服务平台-资讯,direct,"G2.L1.06:中国,G4.L1.01:整车出口",否
263,阿根廷举行第四届拉美中国研究大会,商务部走出去服务平台-资讯,unrelated,G2.L1.06:中国,是
264,“出口中国”活动走进埃塞　企业踊跃签约,商务部走出去服务平台-资讯,direct,"G2.L1.06:中国,G4.L1.01:整车出口",否
265,中国集装箱船首次成功抵达俄摩尔曼斯克港,商务部走出去服务平台-资讯,industry,G2.L1.06:中国,否
266,中国与瑞士宣布完成自贸协定升级谈判,商务部走出去服务平台-资讯,industry,G2.L1.06:中国,否
267,南部非洲加速推进工业化进程,商务部走出去服务平台-资讯,industry,G2.L1.06:中国,否
268,财政部在澳门成功发行60亿元人民币国债,商务部走出去服务平台-资讯,industry,G2.L1.06:中国,否
269,越南外交部：欢迎中方将越南纳入过境免签政策范围,商务部走出去服务平台-资讯,industry,"G11.L1.01:标准法规,G2.L1.06:中国",否
270,吉尔吉斯斯坦欢迎中方对吉公民实施过境免签政策,商务部走出去服务平台-资讯,industry,"G11.L1.01:标准法规,G2.L1.06:中国",否
271,特朗普宣布推迟对加拿大加征50%关税,商务部走出去服务平台-资讯,unrelated,"G10.L1.01:贸易壁垒,G2.L1.06:中国",是
272,日本核心CPI连续59个月同比上涨,商务部走出去服务平台-资讯,unrelated,G2.L1.06:中国,是
273,马来西亚7月贸易总额同比增长37.3%,商务部走出去服务平台-资讯,industry,G2.L1.06:中国,否
274,今年上半年中国继续保持德国最大贸易伙伴,商务部走出去服务平台-资讯,industry,G2.L1.06:中国,否
275,英媒：俄乌黑海粮食出口近乎停滞,商务部走出去服务平台-资讯,industry,"G2.L1.06:中国,G4.L1.01:整车出口",否
276,商务部回应美征收无人机关税等热点问题,商务部走出去服务平台-资讯,industry,"G10.L1.01:贸易壁垒,G2.L1.06:中国",否
